,Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,News - All News Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Layoffs,News - Analyst Comments,News - Stocks,News - Dividends,News - Corporate Earnings,News - Mergers & Acquisitions,News - Store Openings,News - Product Recalls,News - Adverse Events,News - Personnel Changes,News - Stock Rumors
0,2022-04-14,2612.989990234375,2614.205078125,2542.22998046875,2545.06005859375,2545.06005859375,1174200.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,512398.0,958.0,61.0,43.0,67.0,0.0,9.0,12.0,0.0,10.0,2.0,8.0,0.0,45.0,1.0,0.0
1,2021-03-22,285.9700012207031,291.70001220703125,285.2300109863281,288.1300048828125,288.1300048828125,345200.0,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,482238.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2022-04-25,51.45000076293945,51.97999954223633,50.540000915527344,51.93999862670898,51.4766845703125,18677000.0,CSCO,Cisco,Information Technology,Communications Equipment,439424.0,76.0,2.0,0.0,0.0,0.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-12-16,90.6500015258789,91.87000274658205,90.4499969482422,91.44000244140624,88.05340576171875,798100.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,514183.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-03-21,49.0099983215332,49.79999923706055,48.790000915527344,49.25,48.95277404785156,2982200.0,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,452595.0,10.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-08-30,110.0,110.0999984741211,107.55999755859376,109.36000061035156,106.38565063476562,3076500.0,ETR,Entergy,Utilities,Electric Utilities,448321.0,368.0,3.0,52.0,0.0,0.0,46.0,46.0,0.0,0.0,1.0,0.0,0.0,163.0,0.0,0.0
6,2021-05-27,1353.8800048828125,1374.280029296875,1344.719970703125,1365.5999755859375,1365.5999755859375,307100.0,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,578950.0,47.0,2.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
7,2022-03-08,233.08999633789065,242.8999938964844,232.97000122070312,238.7100067138672,238.7100067138672,1460200.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,567236.0,22.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-11-10,41.400001525878906,41.900001525878906,40.90999984741211,41.27000045776367,41.27000045776367,3961700.0,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",544178.0,44.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-03-18,249.72000122070312,251.1000061035156,243.17999267578125,246.4499969482422,245.30699157714844,1974400.0,LHX,L3Harris,Industrials,Aerospace & Defense,471411.0,8.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,2022-05-20,104.7300033569336,105.5500030517578,102.56999969482422,105.44000244140624,104.80155181884766,1402300.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,551766.0,15.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2022-06-23,181.02999877929688,182.97999572753903,178.14999389648438,180.10000610351562,178.89927673339844,695000.0,ITW,Illinois Tool Works,Industrials,Industrial Machinery,547918.0,21.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
12,2021-07-13,51.18000030517578,51.68999862670898,50.79999923706055,51.40800094604492,51.40800094604492,2545500.0,FTNT,Fortinet,Information Technology,Systems Software,555987.0,48.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
13,2020-10-23,580.8499755859375,586.2000122070312,574.030029296875,581.7100219726562,581.7100219726562,99600.0,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,508743.0,87.0,0.0,1.0,0.0,0.0,10.0,13.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0
